2022-09-16T12:07:42;PUSHUPS;10
2022-09-16T12:08:48;SHOULDER;10
2022-09-16T12:09:26;CURLS;10
2022-09-16T12:10:05;CRUNCHES;10
2022-09-16T12:38:02;PUSHUPS;1
2022-09-16T12:38:03;SHOULDER;1
2022-09-16T12:38:04;CURLS;1
2022-09-16T12:38:05;CRUNCHES;1
2022-09-16T12:41:13;PUSHUPS;1
2022-09-16T12:41:13;SHOULDER;2
2022-09-16T12:41:14;CURLS;3
2022-09-16T12:41:15;CRUNCHES;4
2022-09-16T12:44:10;PUSHUPS;10
2022-09-16T12:44:11;SHOULDER;20
2022-09-16T12:44:12;CURLS;30
2022-09-16T12:44:13;CRUNCHES;40
2022-09-16T12:46:04;PUSHUPS;1
2022-09-16T12:46:05;SHOULDER;1
2022-09-16T12:46:05;CURLS;1
2022-09-16T12:46:06;CRUNCHES;1
2022-09-16T12:46:30;PUSHUPS;1
2022-09-16T12:46:31;SHOULDER;2
2022-09-16T12:46:32;CURLS;1
2022-09-16T12:46:33;CRUNCHES;1
2022-09-16T12:46:54;PUSHUPS;1
2022-09-16T12:46:55;SHOULDER;
2022-09-16T12:46:57;CURLS;1
2022-09-16T12:46:58;CRUNCHES;1
